Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Onsite Renewable (kWh),ENERGY STAR Score
19 Hampden,802130000,Manufacturing/Industrial Plant,19 Hampden St,35470,Manufacturing/Industrial Plant,2002796.8,0.2517,0.7483,,,,,,,
Garage at Post Office Square,304163000,Parking,Zero Post Office Square,532700,"Other - Recreation, Parking",2079900.8,1,,,,,,,,
Gatehouse 75 (gt28),202360000,Multifamily Housing,75 W School St,136269,"Multifamily Housing, Parking",5801334.4,0.4883,0.5117,,,,,,,85
501 Boylston,0501296002 0501296004 0501296006,Office,501 Boylston Street,727003,"Bank Branch, Heated Swimming Pool, Office, Other, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Retail Store",42525604.1,0.354,0.646,,,,,,,94
EBNHC - Maverick,105658010,Urgent Care/Clinic/Other Outpatient,20 Maverick Square,47777,Urgent Care/Clinic/Other Outpatient,4839358.9,0.6555,0.3445,,,,,,,
East Boston Neighborhood Health Center,105815000,Urgent Care/Clinic/Other Outpatient,10 Gove St,57458,Urgent Care/Clinic/Other Outpatient,7403402.6,0.5462,0.4538,,,,,,,
332 Congress Street,602667000,Office,332 Congress Street,36192,"Office, Restaurant",1548414.6,0.8724,0.1276,,,,,,,48
34 Farnsworth,602663010,Office,34 Farnsworth Street,25000,Office,1466474.8,0.4179,0.5821,,,,,,,66
33/41 Farnsworth Street,602660010,Office,33/41 Farnsworth Street,94381,Office,3153615.8,0.4176,0.5824,,,,,,,
263 / 259 Summer,602702000,Office,263 Summer Street,64564,"Office, Retail Store",4832511,0.7213,0.2787,,,,,,,36
99 High Street,304390000,Office,99 High Street,804264,"Bank Branch, Office, Other - Restaurant/Bar, Parking",44350579,0.53,0.47,,,,,,,74
44 Farnsworth,602662015,Office,44 Farnsworth Street,93824,Office,5000782.9,0.6159,0.3841,,,,,,,71
374 Congress,602646010,Office,374 Congress Street,95855,"Office, Restaurant",8877254.8,0.4219,0.5781,,,,,,,47
70 Federal,304669000,Office,70 Federal Street,71872,Office,4194477.8,0.563,,0.437,,,,,,57
Parker Hill,1001052000,Multifamily Housing,170 Parker Hill Avenue,61930,Multifamily Housing,4015764.7,0.373,0.6927,,,,,,,78
Mount Pleasant (2-6 Waverly St),1200302000,Multifamily Housing,2 Waverly Street,64504,Multifamily Housing,4438367.6,0.2967,0.733,,,,,,,75
1460 House,1500551012,Multifamily Housing,1460 Dorchester Avenue,42985,Multifamily Housing,1521522.5,0.4199,0.581,,,,,,,93
5165 Washington Street LLC,2003386000,Multifamily Housing,5165 WASHINGTON STREET,51225,"Multifamily Housing, Parking",171105.8,0.8829,0.1171,,,,,,,100
101 Arch Street,304597000,Office,101 Arch Street,497138,"Fast Food Restaurant, Office, Parking, Restaurant",21739535.4,0.9922,0.78,,,,,,,75
City Year,400549000,Office,287 Columbus Ave,64540,Office,3651532.8,0.574,0.4926,,,,,,,82
"VIA Seaport Residences (hv66, ns003, tj13)","602671035, 602641150",Multifamily Housing,5 Fan Pier Blvd,1448366,"Heated Swimming Pool, Multifamily Housing, Parking, Retail Store",46299061.6,0.5496,0.454,,,,,,,96
9 Miner Street (nm35),2100166000,Multifamily Housing,9 Miner St,57833,"Multifamily Housing, Parking",2891261.5,0.3547,0.6453,,,,,,,81
Village at Chestnut Hill (vc62),2007833020,Strip Mall,631 VFW Parkway,114450,"Medical Office, Parking, Strip Mall",6699012.5,0.976,0.924,,,,,,,
Boston Copley Square Courtyard,401057000,Hotel,88 Exeter st,40000,Hotel,7726482.5,0.3245,0.6755,,,,,,,7
Wyndham Boston Beacon Hill,300660002,Hotel,5 Blossom Street,224602,"Heated Swimming Pool, Hotel",12892718,0.564,0.4936,,,,,,,96
BOSTON OPERA HOUSE,304830000,Performing Arts,539 WASHINGTON STREET,118781,Performing Arts,6655192.9,0.7662,0.2338,,,,,,,
Camfield Estates,901220000,Multifamily Housing,112 Camden Street,113315,Multifamily Housing,14658689.2,0.1897,0.813,,,,,,,6
Blue Elm Apartments: 172-176 Seaver Street,1202344000,Multifamily Housing,172-176 Seaver St,65350,Multifamily Housing,3996903.8,0.173,0.8297,,,,,,,75
Columbia West: 392 Columbia Rd,1502411010,Multifamily Housing,392 Columbia Rd,41632,Multifamily Housing,2585432.4,0.478,0.5922,,,,,,,68
Roxse Homes: Tremont and Warwick Street,902000010,Multifamily Housing,1030 Tremont Street,123322,Multifamily Housing,11368843.1,0.2787,0.7213,,,,,,,34
Fieldstone Apartments,1404349000,Multifamily Housing,901 - 907 Blue Hill Ave,50544,Multifamily Housing,2000198.8,0.261,0.7939,,,,,,,99
MPDC - Brookledge Cummins: 610 Cummins Hwy,1802473000,Multifamily Housing,610 Cummins Hwy,26000,Multifamily Housing,2058641.3,0.37,0.6993,,,,,,,49
Tent City,400600040,Multifamily Housing,100 -128 Dartmouth Street (130),327174,"Multifamily Housing, Retail Store",16744676.2,0.5315,0.4685,,,,,,,80
Victory Gardens Apartments: 54 Orleans Street,105343100,Multifamily Housing,54 Orleans St,78545,Multifamily Housing,3720676.1,0.3917,0.683,,,,,,,77
225 Centre LLC,1100896020,Multifamily Housing,225 Centre St,119719,"Multifamily Housing, Parking, Retail Store",5701788.9,0.2732,0.7268,,,,,,,96
Dorchester House Apartments: 10 Ellet Street,1500550000,Multifamily Housing,10 Ellet St,59400,Multifamily Housing,2946458.7,0.711,0.2989,,,,,,,79
Riviera: 270 Huntington Avenue,402289000,Multifamily Housing,270 Huntington Avenue,35500,Multifamily Housing,5875982.4,0.163,0.8397,,,,,,,27
Waterworks (Watermark): 2400 Beacon Street,2102439200,Multifamily Housing,2400 Beacon Street,187885,Multifamily Housing,7027715.4,0.4779,0.5221,,,,,,,91
Cardinal Medeiros Manor: 11 Woodcliff Street,1300691000,Multifamily Housing,11 Woodcliff St,26070,Multifamily Housing,2920854.9,0.2554,0.7446,,,,,,,47
Christopher Columbus Plaza: 145 Commercial Street,303551000,Multifamily Housing,145 Commercial St,174895,Multifamily Housing,9185508.8,0.3615,0.6385,,,,,,,83
The Metropolitan: 1 Nassau Street,305424030,Multifamily Housing,1 Nassau St,350000,Multifamily Housing,20033707.2,0.5346,0.4654,,,,,,,35
Mercantile Wharf: Mercantile Wharf,303636000,Multifamily Housing,111 Atlantic Avenue,230000,Multifamily Housing,12321301,0.2948,0.752,,,,,,,61
Roxse Homes: Hammond Street,901580000,Multifamily Housing,10 Kendall Street,112005,Multifamily Housing,13186187.6,0.1773,0.8227,,,,,,,22
Uphams Corner: 614 Columbia Rd,703892012,Multifamily Housing,614 Columbia Rd,60348,Multifamily Housing,2968196.8,0.4587,0.5413,,,,,,,52
"Mishawum Park: Bldgs 9,10,11, and 12",202390000,Multifamily Housing,290 Main Street,98577,Multifamily Housing,5424938.8,0.3192,0.688,,,,,,,88
Nate Smith House: 155 Lamartine St - Compliance,1900029010,Multifamily Housing,155 Lamartine St,40830,Multifamily Housing,2440735.8,0.2767,0.7233,,,,,,,61
Pondview: 560 Centre St,1900914000,Multifamily Housing,560 Centre St,50297,Multifamily Housing,4619370.8,0.1861,0.8139,,,,,,,33
Dona Betsaida Gutierrez Cooperative: Centre-Creighton Apartments,1002038024,Multifamily Housing,11 Creighton St,35503,Multifamily Housing,2557032.6,0.3958,0.642,,,,,,,38
Blue Elm Apartments-6 Wayne Street,1202410000,Multifamily Housing,6 Wayne Street,61335,Multifamily Housing,4053257,0.1674,0.8326,,,,,,,89
Anna Bissonnette House: 1640 Washington Street,80448000,Multifamily Housing,1640 Washington Street,22953,Multifamily Housing,2692571.1,0.227,0.773,,,,,,,13
"Mishawum Park: Bldgs 17, 18, and 20",202315000,Multifamily Housing,216 Main Street,30425,Multifamily Housing,1489594.4,0.2348,0.7652,,,,,,,98
Ruggles Assisted Living: 25 Ruggles Street,902453000,Multifamily Housing,25 Ruggles Street,27516,Multifamily Housing,1707493.9,0.3924,0.676,,,,,,,66
Lorenzo Pitts: 1 Gardner,903454000,Multifamily Housing,1 Gardner Street,14292,Multifamily Housing,1494891.2,0.187,0.813,,,,,,,30
Commerce Apartments,1101302000,Multifamily Housing,3115 Washington Street,26000,Multifamily Housing,1763411.3,0.2593,0.747,,,,,,,24
Roxse Homes: Camden and Northampton Street,901120000,Multifamily Housing,65 Camden Street,61307,Multifamily Housing,6993135.9,0.1634,0.8366,,,,,,,34
Sumner Hill House Condos: Sumner Hill House Condos,1901237000,Multifamily Housing,76 Elm Street,95501,Multifamily Housing,4057871.6,0.3436,0.6564,,,,,,,93
Julia Martin House: Julia Martin House,1002334010,Multifamily Housing,90 Bickford St,44892,Multifamily Housing,2520479.3,0.3597,0.643,,,,,,,66
75 Amory: 75 Amory Avenue,1101200015,Multifamily Housing,75 Amory Avenue,48855,Multifamily Housing,1692017.3,0.5975,0.425,,,,,,,92
Zelma Lacey Assisted Living: 9 West School St,202350000,Multifamily Housing,9 W School St,39384,Multifamily Housing,3415535.9,0.415,0.5895,,,,,,,21
Charlesview Residences - Compliance,2200862010,Multifamily Housing,400 Western Avenue,211834,Multifamily Housing,14919812.4,0.4794,0.526,,,,,,,60
Hearth at Olmstead Green: 2 Kingbird Road,1405196900,Multifamily Housing,305 American Legion Hwy,59580,Multifamily Housing,2325401.4,0.4549,0.5451,,,,,,,83
MPDC - Brookledge Cummins: 60 Brookledge Street,1202311000,Multifamily Housing,60 Brookledge St,32503,Multifamily Housing,3277770.2,0.1279,0.8721,,,,,,,51
Van Ness Terrace,1200280000,Multifamily Housing,238 Warren Street,66383,Multifamily Housing,2927019.5,0.2348,0.7652,,,,,,,93
Whittier Place Condominium,300450000,Multifamily Housing,6 Whittier Place,696351,Multifamily Housing,31366729.6,0.3129,0.6871,,,,,,,92
One Financial Center,304285000,Office,One Financial Center,1284680.3,"Fast Food Restaurant, Office, Parking",59222635,1,,,,,,,,62
20 Custom House,303998000,Office,20 Custom House,96032,Office,9555609.9,1,,,,,,,,32
21 Custom House,303988000,Office,21 Custom House Street,135746,"Office, Parking",6869058.7,1,,,,,,,,56
45 Milk Street,304662000,Office,45 Milk Street,82925,"Adult Education, Office",3914067.4,0.632,0.368,,,,,,,75
Alan Issokson,1600667000,Residence Hall/Dormitory,1524-1530 Dorchester Ave.,43303,"Residence Hall/Dormitory, Retail Store",447410.9,,1,,,,,,,100
699 Boylston St,501397000,Office,699 Boylston St,211351,"Bank Branch, Office, Other, Retail Store",10381391.8,1,,,,,,,,66
Doubletree Club Hotel Boston Bayside,03448-000,Hotel,240 Mt. Vernon Street,91000,Hotel,Not Available,,,,,,,,,
101 Tremont,304717000,Office,101 Tremont Street,75285,Office,4841608.9,0.386,0.6194,,,,,,,70
Eleven West,0600055010 060006100,Multifamily Housing,11 West Broadway,123163,"Multifamily Housing, Other - Restaurant/Bar, Parking",1477640.5,0.326,0.6974,,,,,,,100
Orchard Gardens,802195020,Multifamily Housing,25 Ambrose Street,64000,Multifamily Housing,4025834.7,0.2129,0.7871,,,,,,,38
455-465 Geneva Ave.,1702239000,Multifamily Housing,455 Geneva Ave,32852,Multifamily Housing,1928095.9,0.3493,0.657,,,,,,,58
Trinity Mattapan Heights 5,1800113800,Multifamily Housing,229A River St,74698,Multifamily Housing,4061046.6,0.3884,0.6116,,,,,,,68
Loews Boston Hotel,401117000,Hotel,350 Stuart Street,172000,Hotel,14030753.2,0.4764,0.5236,,,,,,,72
Maverick Landing I,105609010,Multifamily Housing,3 - 17 New Street,144009,Multifamily Housing,13390760.3,0.1615,0.8385,,,,,,,82
Washington Beech - 4560 WASHINGTON ST,1806017110,Multifamily Housing,4560 WASHINGTON ST,79766,Multifamily Housing,3366515.3,0.3863,0.6137,,,,,,,95
Trinity Franklin Hill Phase One LP,1404238010,Multifamily Housing,99-113 Shandon Road,75462,Multifamily Housing,8826506,0.2537,0.7463,,,,,,,21
Maverick Landing II,105402010,Multifamily Housing,115 Sumner Street,98784,Multifamily Housing,5751972.5,0.2553,0.7447,,,,,,,91
Trinity Foley,1800113100,Multifamily Housing,249 River Street,125000,Multifamily Housing,6790557.5,0.3669,0.6331,,,,,,,35
Ridgecrest Green (dr77),1812339010,Multifamily Housing,110 Edgemere Rd,210954,"Heated Swimming Pool, Multifamily Housing, Parking",8299675.7,0.3728,0.6272,,,,,,,87
Leon Victor J TS,1201139000,Enclosed Mall,330 Martin Luther King Blvd,1000000,"Enclosed Mall, Parking",Not Available,,,,,,,,,
Ridgecrest Terrace (rg99),2012112000,Multifamily Housing,14 Ridgecrest Ter,338658,"Heated Swimming Pool, Multifamily Housing",11930027.7,0.2273,0.3538,,0.4189,,,,,100
JOKAM,1602618000,Office,74 Lawley Street,45724,Office,Not Available,,,,,,,,,
Tenean Properties,1602580000,Office,60 Tenean Street,48399,Office,2056188,0.374,0.6926,,,,,,,92
Trinity Border Street LLC (Boston East),105413010,Multifamily Housing,126 Border Street,203508,Multifamily Housing,8020330.9,0.4254,0.5746,,,,,,,94
Riverway Plaza,1704030000,Strip Mall,84-100 River St,62445,"Parking, Strip Mall",3325480.7,0.727,0.273,,,,,,,
The Carruth - Commercial,1604854012;1604854020,Multifamily Housing,1900 -1918 DORCHESTER Ave,186139,Multifamily Housing,12905590.7,0.3129,0.6871,,,,,,,17
Mission Park Apartments,1000290000,Multifamily Housing,15-37 St Albams Rd,786880,Multifamily Housing,76969786.4,0.2552,0.7448,,,,,,,26
Franciscan Monastery of St Clare,1902805000,Other - Lodging/Residential,920 Centre St,64400,"Other - Lodging/Residential, Parking",Not Available,,,,,,,,,
31 Milk Street,304642004,Office,31 Milk Street,104720,Office,7350442.4,0.3664,0.6336,,,,,,,79
268 Summer Street,602700000,Office,268 Summer Street,73577,Office,2637653.5,1,,,,,,,,82
285 Summer Street,602705000,Office,285 Summer Street,57770,"Office, Parking",2115118.3,0.95,0.95,,,,,,,76
24 Federal Street,304672000,Office,24 Federal Street,73686,Office,5106991.1,0.5817,0.4183,,,,,,,65
3 PO Square,304673000,Office,79 Milk Street,64879,Office,6650364.5,0.3826,0.6174,,,,,,,49
Fenway Triangle Trilogy,2100051014,Multifamily Housing,180 Brookline Ave,776441,"Bank Branch, Fast Food Restaurant, Multifamily Housing, Other, Other - Restaurant/Bar, Parking, Restaurant, Retail Store",36020144.8,0.6455,0.3545,,,,,,,28
745 Atlantic Ave,305355000,Office,745 Atlantic Ave,243801,"Office, Parking",10785621.7,1,,,,,,,,88
100 Monmouth St LLC,2100115000,Parking,142-146 St Mary's St,47904,Parking,205061.2,1,,,,,,,,
745,503207100,Office,745 Boylston Street,120496,"Office, Parking, Restaurant, Retail Store, Self-Storage Facility",8568499.8,0.5726,0.4274,,,,,,,
"J.C. Cannistraro, LLC",602674085,Manufacturing/Industrial Plant,25 Fid Kennedy Avenue,157000,Manufacturing/Industrial Plant,8645792.8,0.3558,0.6442,,,,,,,
Hebrew Rehabilitation Center,2005206000,Hospital (General Medical & Surgical),1200 Centre St,445000,"Hospital (General Medical & Surgical), Parking",499650417.8,0.478,0.952,,,,,0.1742,,1
BE Realty,304206000,Office,133 Federal St,127689,"Office, Restaurant",10773424.2,0.1917,,0.883,,,,,,78
Lincoln Plaza: 66 Lincoln Street,304304100,Multifamily Housing,66 Lincoln Street,121500,Multifamily Housing,9209344.2,0.6521,0.3479,,,,,,,10
Commonwealth Park Condo: 1427 Commonwealth Avenue,2101110000,Multifamily Housing,1427 Commonwealth Avenue,103823,Multifamily Housing,6846617.6,0.51,0.49,,,,,,,50
San Marco/Lincoln Wharf Condominium Trust: Lincoln Wharf,303039000,Multifamily Housing,357 Commercial Street,256779,Multifamily Housing,9484426.9,0.5611,,,0.4389,,,,,97
Parris Landing Condominium Trust: 42 8th Street,203506010,Multifamily Housing,42 8th Street,320568,Multifamily Housing,20754363.9,0.2778,0.7222,,,,,,,82
Flagship Wharf Condominium: 197 8th Street,203505100,Multifamily Housing,197 8th Street,590000,Multifamily Housing,30147556.6,0.5255,0.4745,,,,,,,32
Basilica Leasehold Condominium Trust: Basilica Condominium,203510175,Multifamily Housing,106 13th Street,80000,Multifamily Housing,6437711,0.3799,0.621,,,,,,,88
Union Wharf Condominiums,303038200,Multifamily Housing,343 Commercial Street,236724,"Heated Swimming Pool, Multifamily Housing, Office, Parking",6638892.5,0.7597,0.243,,,,,,,87
U-Haul Storage at Rusfield St (837054/837065),800969000,Self-Storage Facility,15 Rusfield,127500,Self-Storage Facility,1693305,0.5436,0.4564,,,,,,,
One Bowdoin Square,302621000,Office,One Bowdoin Square,164697,"Office, Parking",8394776,0.5539,0.4461,,,,,,,76
Saint John Paul II Catholic Academy,1602169000,K-12 School,239 Neponset Ave,60000,K-12 School,2342311.2,0.3252,0.6748,,,,,,,70
Saint John Paul II Catholic Academy,1703589000,K-12 School,2214-2224 Dorchester Ave,61000,K-12 School,696453,1,,,,,,,,98
Saint John Paul II Catholic Academy,703079000,K-12 School,796 Columbia Road,60000,K-12 School,2830902.4,0.31,0.69,,,,,,,59
Prime Storage Traveler St,306575000,Self-Storage Facility,33 Traveler St,53312,Self-Storage Facility,1074273.3,0.4621,0.5379,,,,,,,
Prime Storage Boston Southampton St,801027050,Self-Storage Facility,100 Southampton St,68104,Self-Storage Facility,821815.5,0.3238,0.6762,,,,,,,
Prime Storage Hyde Park,1809450000,Self-Storage Facility,1641 Hyde Park Ave,40000,Self-Storage Facility,1785779.6,0.65,0.9395,,,,,,,
Anderson Park: 250 Cambridge St,502186000,Multifamily Housing,250 Cambridge St,86006,Multifamily Housing,6404036.3,0.329,0.671,,,,,,,38
Lionhead Apartments (Dudley),1301236000; 1301235000,Multifamily Housing,3 Monadnock St,87944,Multifamily Housing,5173292.4,0.2514,0.7486,,,,,,,87
Navy Yard 34-39: Building 39,203504000,Office,100 1st Avenue,86951,Office,4218806.8,0.8864,0.1136,,,,,,,57
Navy Yard 34-39: Building 34,203512000,Office,1 1st Avenue,49247,"Bank Branch, Office, Retail Store",2542381.6,0.879,0.1291,,,,,,,60
Huntington Avenue: 706 Huntington Avenue,1000131000,Multifamily Housing,706 Huntington Avenue,35502,Multifamily Housing,2658093.1,0.277,0.7923,,,,,,,61
West Fenway Elderly Housing: 110 Peterborough St,2100033000,Multifamily Housing,110 Peterborough St,40752,Multifamily Housing,2161278.7,0.37,0.6993,,,,,,,93
64-70 Burbank St. Apt: 64 Burbank St.,401476000,Multifamily Housing,64 Burbank St,18568,Multifamily Housing,1267823.9,0.3419,0.6581,,,,,,,
Westland Ave Apartments,401512000,Multifamily Housing,65 Westland Ave,114949,Multifamily Housing,6255243.2,0.2973,0.727,,,,,,,77
Midway Studios: 15 Channel Center Street,602750050,Multifamily Housing,15 Channel Center St,203500,Multifamily Housing,7398803.4,0.6143,0.3857,,,,,,,66
Amy Lowell House: 65 Martha Road,300465000,Multifamily Housing,65 Martha Rd,115000,Multifamily Housing,8105434.9,0.454,0.5946,,,,,,,53
BB/OP/12SS: 31 Burbank Street,401440000,Multifamily Housing,31 Burbank Street,40461,Multifamily Housing,3799626.3,0.159,0.841,,,,,,,52
New England Center and Home for Veterans: 17 Court Street,302886000,Other,17 Court Street,116190,"Multifamily Housing, Other",9159150.6,0.6634,0.3366,,,,,,,
"Stadium Auto Body, INc",2200558001; 2200558000,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",EVERETT ST,61015,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2141524.2,0.1875,0.8125,,,,,,,
Allerton: 65 Allerton Street,0800962000;  0800961001; 0800962010; 080096300; 0800957000,Office,65 Allerton Street,110087,Office,8954538.5,0.9253,0.747,,,,,,,34
New Mass Pike Towers,500270000,Multifamily Housing,366 Tremont Street,232496,Multifamily Housing,18758219.3,0.1473,0.8527,,,,,,,74
Mezzo Design Lofts,2850403312,Multifamily Housing,30 Caldwell st,123956,Multifamily Housing,4930422.6,0.271,0.7299,,,,,,,99
264-270 Comm Ave,503192000,Residence Hall/Dormitory,262-270 Comm Ave,60170,Residence Hall/Dormitory,3013795.3,0.21,0.79,,,,,,,
1140 Boylston Street,401755000,College/University,1140 Boylston Street,66920,College/University,4600862.6,0.2929,0.771,,,,,,,
31 Hemenway Street,401763000,College/University,31 Hemenway Street ,38783,College/University,3110729.4,0.4333,0.5667,,,,,,,
136 Mass Ave,401373001,College/University,150 Mass Ave,36500,College/University,326187.3,1,,,,,,,,
150 Massachusetts Ave-Multiuse,401372001,Residence Hall/Dormitory,150 Mass Ave,216000,Residence Hall/Dormitory,19109818,0.2926,0.774,,,,,,,
160 Mass Ave,401312000,Residence Hall/Dormitory,160 Mass Ave,176000,Residence Hall/Dormitory,16112881.7,0.362,0.6938,,,,,,,56
