Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",ENERGY STAR Score,Onsite Renewable (kWh)
10/20 Channel Center,"602757030, 602757045",Office,10 Channel Center Street,265830,Office,12453315.1,1,,,,,,,84,
100 Arlington,500805000,Multifamily Housing,100 Arlington Street,203204,"Food Sales, Multifamily Housing",9552813.3,0.602357737,0.077669486,0.319972767,,,,,54,
100 Ashford Street,2100415000,Other - Stadium,100 Ashford Street,96292,Other - Stadium,9693182.2,0.412865323,0.587134667,,,,,,,
100 Bay State Road,504028000,Office,100 Bay State Road,123678,"Food Service, Office",20298432,0.473444052,0.526555948,,,,,,,
100 Clarendon Street Garage,401082001,Other,100 Clarendon Street,843168,"Bank Branch, Medical Office, Office, Other",14307152.6,0.947415323,0.05236831,0.00021636,,,,,,
100 East Newton Street (635 Albany) G Building,"801295000, 801297000",Medical Office,100 East Newton Street,89406,Medical Office,22805887.7,0.257358849,,0.742641147,,,,,6,
100 Federal St.,304410000,Office,100 Federal St.,1497663,"Data Center, Office, Other - Restaurant/Bar, Parking",110201540.2,0.539388519,0.009026191,0.45158529,,,,,78,
100 Franklin Street - SOLD,304666000,Office,100 Franklin Street,129655,"Bank Branch, Office",7287192.1,0.716162087,0.283837913,,,,,,79,
100 Guest Street,2201905030,Office,100 Guest Street ,296176,"Office, Other - Restaurant/Bar, Parking, Retail Store",29667094,0.575185895,0.424814105,,,,,,64,
100 High Street,304408000,Office,100 High Street,550326,"Data Center, Office, Parking",34237784.8,1,,,,,,,78,
100 Holton St,2200966000,Office,100 Holton St,115577,Office,2414702.5,0.023698489,0.976301511,,,,,,100,
100 North Washington Street,301512000,Office,100 North Washington Street,55943,"Office, Parking",1994970.6,1,,,,,,,84,
100 Northern Avenue,602671039,Office,100 Northern Avenue,572998,"Office, Parking, Restaurant",39858184.7,0.55949105,0.44050895,,,,,,77,
100 Summer Street,304220000,Office,100 Summer Street,1113465,"Fast Food Restaurant, Office, Other, Parking",80865211.1,0.514171738,,0.485828262,,,,,75,
1000 Washington Boston Owner,306234010,Office,1000 Washington Street,242240,Office,19807710.8,0.649709314,0.350290686,,,,,,53,
1000 Washington Boston Owner,306234010,Office,1000 Washington Street,242240,Office,19821358.8,0.649950507,0.350049493,,,,,,53,
101 Arch Street,304597000,Office,101 Arch Street,473914,"Fast Food Restaurant, Food Service, Office, Parking, Restaurant",27963946,0.992507763,0.007492237,,,,,,66,
101 CHARLESTOWN,202920000,Multifamily Housing,55 Bunker Hill St.,800238,Multifamily Housing,98243996,0.233928671,0.76607133,,,,,,15,
101 Huntington Ave,401037100,Office,101 Huntington Ave,585345,"Office, Parking",45185157.1,0.479884382,0.012922527,0.506124154,0.001068935,,,,75,
101 Merrimac Street,301675000,Office,101 Merrimac Street,159272,"Office, Parking",12581269.4,0.702884051,0.297115949,,,,,,66,
101 Seaport Boulevard,602643020,Office,101 Seaport Boulevard,620642,"Office, Parking",24516654.9,0.561863417,0.438136579,,,,,,98,
101 Summer Street,"304578000, 304577000",Office,101 Summer Street,52651,Office,4796480,,0.455240718,,,,,,50,
101 Tremont,304717000,Office,101 Tremont Street,80344,Office,5471558,0.52145261,0.478547408,,,,,,,
1010 Massachusetts Ave,801023000,Office,1010 Massachusetts Ave,195000,Office,10262954.3,0.69813956,0.30186045,,,,,,81,
10-18 Buswell Street,2100201000,Multifamily Housing,10-18 Buswell Street,66456,Multifamily Housing,4124233,0.16725008,0.832749944,,,,,,85,
1019 Commonwealth Avenue,2100468000,Residence Hall/Dormitory,1019 Commonwealth Avenue,77750,Residence Hall/Dormitory,4850594.4,0.465584218,0.534415782,,,,,,75,
102-108 Columbia Rd,1400833000,Multifamily Housing,102-108 Columbia Rd,34821,Multifamily Housing,2812068.7,0.182495079,0.817504921,,,,,,52,
102-108 Gainsborough Street,401645000,Multifamily Housing,102 Gainsborough Street,55280,Multifamily Housing,156983.9,1,,,,,,,100,
10-24 School Street,304718000,Office,10-24 School Street,134789,"Data Center, Office, Retail Store",8855678.7,0.490801129,4.52E-05,0.509153703,,,,,89,
103 CLAYTON STREET,1600579000,Office,103 CLAYTON STREET,40696,Office,1918271.6,0.531036168,0.468963832,,,,,,83,
103 Gainsborough St,401611000,Multifamily Housing,103 Gainsborough St,37120,Multifamily Housing,75267.5,1,,,,,,,100,
104 LENOX,901447000,Multifamily Housing,136 Lenox St.,199545,Multifamily Housing,35985171.8,0.123435242,0.876564758,,,,,,2,
10-50 Old Colony Ave.,600324000,Other,10-50 Old Colony Ave.,78704,"Fitness Center/Health Club/Gym, Manufacturing/Industrial Plant, Office, Other",2787432.8,0.446049462,0.553950574,,,,,,,
10500002 - Boston,600006020,Distribution Center,100 Widett Circle,212584,Distribution Center,8561936.4,1,,,,,,,80,
105-129 Kingston Street,304421000,Office,2 24 Edinboro Street,75500,"Office, Retail Store",5184134.4,0.352486656,,0.647513344,,,,,,
106 CATHEDRAL,801209010,Multifamily Housing,1472 Washington St.,571440,Multifamily Housing,41272118,0.252208317,0.747791683,,,,,,57,
107 HEATH,1002333000,Multifamily Housing,30 Bickford Street,279963,Multifamily Housing,28444116.9,0.156718151,0.843281849,,,,,,15,
1086 Commonwealth Ave,2101596000,Multifamily Housing,1086 Commonwealth Ave ,31530,Multifamily Housing,2298038.1,0.05715236,0.942847597,,,,,,92,
109 Brookline Ave. - Ste # 602030,"2100073000, 2100070000, 2100071000, 2100068000",Not Available,109 BROOKLINE AVE,285556,"Office, Parking",30770917.1,0.933846632,0.066153368,,,,,,,
1091 Boylston Street Condominium,504162000,Multifamily Housing,1091 Boylston,19161,Multifamily Housing,2700376.1,0.125862542,0.874137458,,,,,,34,
1098-Jamaica Plain,"1102009000, 1102010000, 1102022000, 1102023000",Self-Storage Facility,3175 Washington Street,71057,Self-Storage Facility,2431659.9,0.801164628,0.198835372,,,,,,,
11 Beacon,302804000,Office,11 Beacon Street,146388,"Office, Other - Restaurant/Bar",11491086.9,0.331788118,0.668211882,,,,,,80,
11 Nevins Street,2101835200,Medical Office,11 Nevins Street,50676,Medical Office,7192856.9,0.523119124,0.476880876,,,,,,20,
11 Royce,2101546000,Multifamily Housing,11 Royce Rd ,37608,Multifamily Housing,Not Available,,,,,,,,,
11 Tetlow Street - Tetlow Realty Associates,401834000,Multifamily Housing,11 Tetlow Street,21779,Multifamily Housing,35373.4,,1,,,,,,,
110-112 Cummington Street,2100277000,College/University,110-112 Cummington Street,48901,College/University,7100,,1,,,,,,,
111 Cummington Street (664-666 Comm. Ave),"2100282000, 504100000",College/University,111 Cummington Street (664-666 Comm. Ave),93831,College/University,15905968.8,0.392055201,0.607944792,,,,,,,
111 Gainsborough St,401615000,Multifamily Housing,111 Gainsborough St,37120,Multifamily Housing,89887.5,1,,,,,,,100,
111 Huntington Ave,401037500,Office,111 Huntington Ave,1034179,Office,80503858.2,0.585235138,0.002597391,0.412167469,,,,,65,
111 WHITTIER,902643000,Multifamily Housing,1158 Tremont St.,108472,Multifamily Housing,6012866.6,0.210064514,0.789935486,,,,,,100,
1126,"703501030, 703501045",Retail Store,14 Allstate Road,45261,Retail Store,2671579.4,0.751233297,0.248766703,,,,,,55,
114 ALICE TAYLOR,"402043700, 402043500, 402043400, 402043300, 402043200, 402043600",Multifamily Housing,260 Ruggles St.,389949,Multifamily Housing,32431157.5,0.256013089,0.743986908,,,,,,25,
114 Western Ave,2200268000,Office,114 Western Ave,80632,"Office, Other, Urgent Care/Clinic/Other Outpatient",Not Available,,,,,,,,,
1140 Boylston Street,401755000,College/University,1140 Boylston Street,66920,College/University,6207144.4,0.430389085,0.569610899,,,,,,,
115 – West Roxbury,2005752010,Supermarket/Grocery Store,1800 Centre St,55929,"Parking, Supermarket/Grocery Store",17831090.4,0.605066199,0.394933801,,,,,,60,
115-119 Broad St,"304040000, 304039000",Not Available,109-115 Broad St.,56094,Office,Not Available,,,,,,,,,
116 Huntington,401013010,Office,116 Huntington Ave,287141,"Office, Parking, Restaurant",17475317.2,1,,,,,,,81,
117 Park Drive,504273000,Multifamily Housing,117 Park Drive,35000,Multifamily Housing,2742429.1,1,,,,,,,1,
119,2201867000,Office,119 Braintree Street,140388,"Office, Parking",5428747.6,0.479765296,0.520234704,,,,,,96,
119 BROMLEY PARK,"1001851000, 1002333300, 1002333200, 1002333400, 1002333100",Multifamily Housing,30 Bickford St.,588634,Multifamily Housing,50395409.5,0.151766744,0.848233256,,,,,,72,
12 Farnsworth - BERDO,602665000,Office,12 Farnsworth Street,57108,"Office, Retail Store",7523922.6,0.597371828,0.402628172,,,,,,72,
120 Ashford Street,2100414000,Distribution Center,120 Ashford Street,65198,"Distribution Center, Office, Parking",8741065.8,0.268525527,0.731474484,,,,,,6,
120 Herald Street,500515000,Other,120 Herald Street,115680,"Other, Parking",162306.1,1,,,,,,,,
1200 Commonwealth Ave,2101571000,Multifamily Housing,1200 Commonwealth Avenue,33824,Multifamily Housing,1486508.1,0.586541708,0.413458225,,,,,,93,
121 - Roche Bros.,304585010,Supermarket/Grocery Store,10 Summer St,37000,Supermarket/Grocery Store,8426406.2,0.703147482,0.296852518,,,,,,59,
121 Seaport,602643040,Office,121 Seaport Boulevard,486562,"Office, Parking, Retail Store",23482317.1,0.738022544,0.261977452,,,,,,,
123 ME MCCORMACK,"702853000, 702846000, 702847000, 702844000, 702845000, 700773000",Multifamily Housing,10 Kemp St.,859162,Multifamily Housing,142026096.2,0.148382037,0.851617963,,,,,,1,
1230 Washington St,306443000,Manufacturing/Industrial Plant,1234 Washington St,60990,Manufacturing/Industrial Plant,1655057.2,0.112949148,0.887050852,,,,,,,
1234 Soldiers Field Road,2200562002,Hotel,1234 Soldiers Field Road,58550,"Hotel, Parking",4838068.3,0.083146387,0.916853613,,,,,,91,
124 OLD COLONY,"700538010, 700539001, 700539010, 700540030",Multifamily Housing,265 East 9th St.,334068,Multifamily Housing,87654378.2,0.081160045,0.918839955,,,,,,1,
1249 Boylston Street,504205000,Office,1249 Boylston Street,37495,"Office, Retail Store",3720246.8,0.637841393,0.36215858,,,,,,,
125 High St.,304102000,Office,125 High Street,1511250,"Office, Parking",85478218.2,1,,,,,,,80,
125 Lincoln Street,304334000,Mixed Use Property,125 Lincoln Street,57813,"Office, Other, Parking, Supermarket/Grocery Store",4805838.8,0.458273361,0.541726639,,,,,,80,
125 Magazine St,800495010,Office,125 Magazine St,8100,Office,511655.5,0.51614905,0.48385095,,,,,,60,
125 Summer Street,304256000,Office,125 Summer Street,521903,"Data Center, Office, Parking",28879592,1,,,,,,,76,
1255 Boylston Street,504206000,Retail Store,1255 Boylston Street,32776,"Office, Retail Store",2264412.5,0.917793953,0.082206047,,,,,,32,
126 Brookline Ave,504328000,Retail Store,126 Brookline Ave,61406,"Office, Retail Store",14162520.5,0.441094542,0.55890545,,,,,,1,
126 Newbury Street,501320000,Retail Store,126 Newbury Street,49896,Retail Store,1848976.4,1,,,,,,,86,
1277 Commonwealth Ave,2101025000,Multifamily Housing,1277 Comonwealth Ave,63287,Multifamily Housing,4145357.5,0.302234319,0.697765681,,,,,,82,
1284 Soldiers Field Road,2200566000,Office,1284 Soldiers Field Road,36383,Office,897251.7,0.353693172,0.646306939,,,,,,99,
129-135 Columbia Rd,1401065000,Multifamily Housing,129-135 Columbia Road,66400,Multifamily Housing,4174863.6,0.179187746,0.82081223,,,,,,72,
1295 Boylston - Ste# 535088,504210010,Office,1295 BOYLSTON ST,130751,"Office, Parking, Retail Store",20202368.9,0.726679409,0.269222066,,0.004098529,,,,20,
1315 Commonwealth Avenue,2101038000,Multifamily Housing,1315 Commonwealth Avenue,37182,Multifamily Housing,273058.9,1,,,,,,,100,
"1330 Boylston Street Properties, LLC",504314014,Multifamily Housing,1330 Boylston Street,350714,"Multifamily Housing, Office, Parking, Retail Store",20931390.8,0.501599454,0.498400546,,,,,,72,
136 Mass Ave,401373001,College/University,150 Mass Ave,36500,College/University,615661.3,1,,,,,,,,
137 Englewood Avenue,2102331000,Multifamily Housing,137 Englewood Avenue,56239,Multifamily Housing,5027111.3,0.14262143,0.343451835,,0.513926756,,,,90,
137 Newbury Street,501339000,Office,137 Newbury St.,57986,Office,3463123.4,0.560852524,0.439147476,,,,,,63,
137 Park Drive - Gilbert Realty Trust,504277000,Multifamily Housing,137 Park Drive,31092,Multifamily Housing,72636.7,0.795355516,0.204644484,,,,,,100,
1380 Soldiers Field Rd,2200578000,Office,1380 Soldiers Field Rd,76962,"Medical Office, Office, Parking",5459264.5,0.577313006,0.422686976,,,,,,71,
14 Beacon Street LLC,304692000,Office,14 Beacon Street,88203,"Library, Office",3813513.7,0.116282813,0.883717187,,,,,,97,
1-4 Maple Court,1202424000,Multifamily Housing,"1 Maple Court, Suite B",121944,"Multifamily Housing, Office, Social/Meeting Hall",3767933.2,0.046986634,0.953013366,,,,,,,
140 Bay State Road,504003000,Residence Hall/Dormitory,140 Bay State Road,128887,Residence Hall/Dormitory,11074251.6,0.240114826,0.759885174,,,,,,63,
140 Clarendon,401085000,Mixed Use Property,140 Clarendon Street,193965,"Hotel, Multifamily Housing, Office, Other, Other - Lodging/Residential",14949617.6,0.567034163,,0.432965837,,,,,,
140 The Fenway,401706000,College/University,140 The Fenway,148145,College/University,27279124.2,0.494272573,0.505727427,,,,,,,
141 tremont street,304800000,Office,141 tremont street,64884,Office,5483184.7,0.999740789,0.000259192,,,,,,34,
143 Park Drive - Gilbert Realty Trust,504278000,Multifamily Housing,143 Park Drive,33492,Multifamily Housing,102258.6,0.693720626,0.306279374,,,,,,100,
144-148 Geneva Ave,1400076000,Multifamily Housing,144-148 Geneva Ave,34944,Multifamily Housing,2219011.5,0.242718165,0.75728179,,,,,,66,
144-162 (170) Charles Street,502444000,Other - Lodging/Residential,144-162 Charles Street,48544,"Other - Lodging/Residential, Parking",2493855.1,0.724121903,0.275878097,,,,,,,
1444,"2101819000, 2101818000",Multifamily Housing,1442 1444 Commonwealth Ave,25913,Multifamily Housing,1916868.8,0.104125645,0.019928333,,0.875946022,,,,86,
145 Tremont,304824000,Office,144 Tremont Street,42007,Office,1584321.2,1,,,,,,,78,
"1459 Realty Ventures, LLC",2010637001,Multifamily Housing,1459-1461 VFW Parkway,90390,"Multifamily Housing, Parking",7392232.9,0.132410682,0.867589318,,,,,,53,
1460 House,1500551012,Multifamily Housing,1460 Dorchester Avenue,42985,Multifamily Housing,1619491.1,0.397357479,0.602642521,,,,,,93,
147 Milk Street,304027000,Medical Office,147 Milk Street ,52337,Medical Office,5429430.3,0.557315986,,0.442684014,,,,,47,
14WBL-Element Seaport Boston,602839010,Hotel,391-395 D Street,116331,Hotel,7848112,0.574216104,0.425783883,,,,,,85,
15 Bismarck,1801935000,Office,15 Bismark Street,3200,Office,234894.7,0.453098771,,,0.546901229,,,,46,
15 Court Square,302866000,Not Available,15 Court Sq,80442,Office,4989870.4,0.380986007,0.619013993,,,,,,,
150 Dorchester Ave. Condominium,600074010,Multifamily Housing,150 Dorchester Ave,35000,Multifamily Housing,Not Available,,,,,,,,,
150 Mass Ave,"401372001, 401372000",Residence Hall/Dormitory,150 Mass Ave,216000,Residence Hall/Dormitory,22938057.6,0.416996093,0.583003907,,,,,,,
150 Mt Vernon: 150 Mount Vernon Street,1303448200,Office,150 Mount Vernon Street,129800,Office,Not Available,,,,,,,,,
150 Tremont St,304860000,Residence Hall/Dormitory,150 Tremont,147336,Residence Hall/Dormitory,7788629.6,0.854715007,0.145284981,0,,,,,67,
15-27 Highland Ave,903516000,Multifamily Housing,15-27 Highland Ave,24780,Multifamily Housing,3898541.6,0.120716219,0.879283807,,,,,,7,
155 Federal Street,304210000,Office,155 Federal St,190941,Office,4342588.7,1,,,,,,,97,
157 Washington St,1401034000,Multifamily Housing,157 Washington St,22386,"Multifamily Housing, Parking",1699712.1,0.261975602,0.738024457,,,,,,60,
158 WEST NEWTON,900475000,Multifamily Housing,94 West Newton St.,108000,Multifamily Housing,Not Available,,,,,,,,,
159 -161 kelton st,2101825000,Multifamily Housing,159 -161 kelton st ,25000,Multifamily Housing,Not Available,,,,,,,,,
1597 Washington Street Condo,900400050,Mixed Use Property,1597 Washington Street,79349,"Medical Office, Multifamily Housing, Parking, Retail Store",10385541.8,0.578799076,0.421200933,,,,,,,
16 Westland Avenue,401521000,Multifamily Housing,16 Westland Ave,30702,Multifamily Housing,2465351.8,0.050804879,0.949195121,,,,,,94,
160 Mass Ave,401312000,Residence Hall/Dormitory,160 Mass Ave,176000,Residence Hall/Dormitory,21782172.8,0.402582101,0.597417899,,,,,,26,
160-164 Longwood,401882000,College/University,160-164 Longwood,14622,College/University,412872.8,0.968513305,0.031486695,,,,,,,
1619 Comm Ave,2101918000,Multifamily Housing,1619 Commonwealth Avenue,30456,Multifamily Housing,Not Available,,,,,,,,,
1625-1645 Commonwealth Avenue,2101925000,Multifamily Housing,1625-1645 Commonwealth Avenue,115000,Multifamily Housing,7455449.1,0.11370863,0.886291357,,,,,,78,
1-63 Foodmart Road,801024010,Manufacturing/Industrial Plant,1-63 Foodmart Road,176566,Manufacturing/Industrial Plant,9834684.2,1,,,,,,,,
1645-Jamaica Plains - McBride St,1102605030,Self-Storage Facility,141 McBride St,94152,Self-Storage Facility,1090735.1,0.52774968,0.47225032,,,,,,,
1653-1661 Commonwealth Avenue,2101929000,Multifamily Housing,1653-1661 Commonwealth Avenue,27445,Multifamily Housing,568734,0.953581112,0.046418888,,,,,,100,
1661 Washington St,900629000,Multifamily Housing,1661 Washington St,63696,Multifamily Housing,1197889.4,0.340332004,0.659667996,,,,,,100,
1662-1666 Commonwealth Ave,2102013000,Mixed Use Property,1662-1666 Commonwealth Ave ,44593,"Multifamily Housing, Other - Lodging/Residential",4662521.1,0.02387571,0.97612429,,,,,,,
16WDP-Aloft Seaport Boston,602839010,Hotel,401 - 403 D Street,198720,Hotel,17055397.8,0.576820208,0.423179792,,,,,,58,
17 Farnsworth Garage,602659010,Parking,17 Farnsworth Street,127652,Parking,538000.1,1,,,,,,,,
170 Parkside Condominium Trust,304842000,Multifamily Housing,170 Tremont St ,96696,"Multifamily Housing, Parking",6858255.2,0.491501935,0.508498065,,,,,,47,
170 Shawmut Ave,306160000,Manufacturing/Industrial Plant,170 Shawmut Avenue,52224,Manufacturing/Industrial Plant,2594535.8,0.127281265,0.872718735,,,,,,,
172-The Boxer (Bulfinch) Hotel,301676000,Hotel,107 Merrimac Street,47420,Hotel,5338323.5,0.314672425,0.685327594,,,,,,58,
174 RUTLAND,900540000,Multifamily Housing,62 Rutland St.,11200,Multifamily Housing,65108.6,0.02229045,,,,,,,,
175 Berkeley St. (0001),"501153000, 501155000",Office,175 Berkeley St.,522349,"Office, Parking, Restaurant",31186996.7,0.627537079,0.372462921,,,,,,80,
175 Federal Street,304231000,Office,175 Federal Street`,227365,"Bank Branch, Data Center, Office",12540667.7,1,,,,,,,68,
175 McClellan HWY,100548100,Mixed Use Property,144 Addison St,405215,"Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office, Other, Parking, Worship Facility",11255280.5,0.631612913,0.368387087,,,,,,,
175 North Harvard Street Building,2200534000,Parking,175 North Harvard Street,39709,Parking,4691442.9,0.300597605,0.699402395,,,,,,,
176 Lincoln St,2200969000,Office,176 Lincoln St,450000,Office,0,,,,,,,,100,
177 Milk Street,303940000,Office,177 Milk Street,73339,Office,7060852.3,0.423879706,0.576120294,,,,,,52,
178-179 Tremont Street,304884000,Office,178-179 Tremont Street,50600,Office,5915226.8,0.478797888,0.521202112,,,,,,58,
178-180 Columbia Rd,1400707000,Multifamily Housing,180 Columbia Road,35308,Multifamily Housing,2338640.3,0.155664512,0.844335488,,,,,,75,
179 Lincoln Street,305332000,Office,179 Lincoln Street,236461,"Office, Parking",17078798,0.624022575,0.375977425,,,,,,80,
179 Longwood Ave-collegeUniversity,401844000,College/University,179 Longwood Ave,347844,College/University,37593202.4,0.07826745,0.92173255,,,,,,,
18 Tremont Street,302859000,Office,18 Tremont Street,210669,Office,13099475.6,0.450925845,0.071557261,0.477516886,,,,,81,
18 Tremont Street,302859000,Office,18 Tremont Street,210669,Office,13099475.6,0.450925845,0.071557261,0.477516886,,,,,81,
180 beacon condominium trust,502598000,Multifamily Housing,180 beacon street,180000,"Multifamily Housing, Parking",11224551.1,0.312997007,0.687002993,,,,,,68,
180 Longwood,401872000,College/University,180 Longwood,61540,College/University,7564817.1,0.366810825,,0.487877004,,,0.145312172,,,
180 NB - Glencoe Street,2202115000,Multifamily Housing,180 North Beacon Street,32955,Multifamily Housing,96706.3,1,,,,,,,100,
182 COMMONWEALTH,"2101831100, 2101831400, 2101831500, 2101845000, 2101851000, 2101851100",Multifamily Housing,35 Fidelis Way,465238,Multifamily Housing,29632331,0.207247584,0.79275242,,,,,,78,
184 HIGH STREET,304047000,Office,184 High Street,50335,"Office, Restaurant",Not Available,,,,,,,,,
1848-1850 Commonwealth Ave,2102312000,Multifamily Housing,1848-1850 Commonwealth Ave,40000,Multifamily Housing,5986079.4,0.095033704,0.904966296,,,,,,,
186 Lincoln Street,"305340010, 305340100",Office,186 Lincoln Street,74160,Office,2783526.9,0.502533027,0.073243122,,0.424223851,,,,96,
189 FRANKLIN FIELD,1402862000,Multifamily Housing,91 Ames St.,402572,Multifamily Housing,49252355.7,0.230538025,0.769461975,,,,,,20,
19 Hampden,802130000,Manufacturing/Industrial Plant,19 Hampden St,35470,Manufacturing/Industrial Plant,2301640.5,0.217236619,0.782763381,,,,,,,
191 Commonwealth Ave,502952000,Multifamily Housing,191 Commonwealth Ave,40203,Multifamily Housing,2992805.7,0.191869923,0.808130077,,,,,,,
193 HIGHLAND PARK,903491000,Multifamily Housing,50-68 Highland Ave.,12685,Multifamily Housing,2976856.4,0.138458308,0.861541692,,,,,,,
1940 & 1950 Commonwealth Avenue,2102176000,Multifamily Housing,1940-1950 Commonwealth Avenue,60500,Multifamily Housing,2969583.4,0.197178635,0.129960687,,0.672860678,,,,99,
1943 Dot Ave (Whole Building Tracking): 1943 DOT Ave,1704530000,Multifamily Housing,1943 Dorchester Avenue,43836,Multifamily Housing,1368843.2,1,,,,,,,96,
1960-1980 Commonwealth Ave.,2102469000,Multifamily Housing,"1960,1970,1980 Commonwealth Ave.",141204,Multifamily Housing,13270634.5,0.09656166,0.903438332,,,,,,42,
197 Clarendon Street,401116000,Financial Office,197 Clarendon Street ,549175,Financial Office,25859556.1,0.725263486,,0.274736514,,,,,89,
198 Geneva Avenue,1400038000,Office,198 Geneva Avenue,60000,Office,4639390.6,0.456953937,0.543046041,,,,,,87,
2 Atlantic,303030010,Office,2 Atlantic Avenue,68035,"Office, Parking",11037284.3,0.431037588,0.568962412,,,,,,22,
2 Bismarck Street,1801980000,Multifamily Housing,15 Bismark Street,14400,Multifamily Housing,1103059.1,0.223475605,,,0.776524395,,,,,
2 Boylston Place,304908000,Residence Hall/Dormitory,2 Boylston Place,103963,Residence Hall/Dormitory,6277005.6,0.621257993,,0.378742007,,,,,65,
2 Constitution Wharf,203594000,Office,2 Constitution Wharf,36067,Office,2367198.7,0.720048849,0.279951151,,,,,,53,
2 Cummington Street (23-25 Blandford Street),2100295000,Laboratory,2 Cummington Street (23-25 Blandford Street),61754,Laboratory,7680489.3,0.552670948,0.447329052,,,,,,,
2 Oliver St.,304026000,Office,2 Oliver St.,233763,"Convenience Store without Gas Station, Medical Office, Office",9858573.2,0.79493987,0.20506012,,,,,,88,
2 Park Plaza,500020000,Retail Store,2 Park Plaza,39000,"Office, Retail Store",781092.2,1,,,,,,,100,
2 Sewall Ave (233 Harvard),,Other,10 Sewall Avenue,29017,Other,445521.9,1,,,,,,,,
20 City Hall Ave,302865000,Office,20 City Hall Ave,7260,Office,1179951.9,0.060932399,0.418877244,0.520190357,,,,,31,
20 Custom House,303998000,Office,20 Custom House,96032,Office,10895731.1,1,,,,,,,49,
20 Fairlawn,1801935000,Multifamily Housing,15 Bismark Street,50000,Multifamily Housing,2839446.9,0.202364939,,,0.797635025,,,,83,
20 Radcliffe Rd,2100964001,Multifamily Housing,20 Radcliffe Rd,36552,Multifamily Housing,2170384.9,0.220460942,0.779539058,,,,,,83,
